service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
5,0,0,0,0,0,1,1,20190106,20190406
4632,1,1,1,1,1,1,1,20190106,20190406
3,1,1,1,1,1,1,1,20190106,20190406
3686,1,1,1,1,1,0,0,20190107,20190405
4,1,1,1,1,1,0,0,20190107,20190405
4624,1,1,1,1,1,1,1,20190106,20190406
4634,1,1,1,1,1,1,0,20190107,20190406
939,0,0,0,0,0,0,1,20190106,20190331
4631,1,1,1,1,1,0,0,20190107,20190405
299,1,1,1,1,1,0,1,20190106,20190405
4633,1,1,1,1,1,0,1,20190106,20190405
146,0,0,0,0,0,1,0,20190112,20190406
4628,1,1,1,1,1,1,1,20190106,20190406
4625,0,0,0,0,0,1,1,20190106,20190406
4626,1,1,1,1,1,1,1,20190106,20190406
3685,0,0,0,0,0,1,0,20190112,20190406
4590,1,1,1,1,1,0,0,20190107,20190405
4640,1,1,1,1,1,1,1,20190106,20190217
3734,0,0,0,0,0,1,1,20190106,20190406
4652,1,1,1,1,1,1,1,20190106,20190217
322,1,1,1,1,1,1,1,20190106,20190405
281,1,1,1,1,1,0,0,20190107,20190118
340,0,0,0,0,0,1,1,20190106,20190331
308,1,1,1,1,1,0,0,20190107,20190405
324,1,1,1,1,1,1,0,20190107,20190405
288,0,0,0,0,0,0,1,20190106,20190331
329,0,0,0,0,0,1,0,20190112,20190330
331,1,1,1,1,1,0,0,20190121,20190405
351,0,0,0,0,0,1,1,20190106,20190331
328,0,0,0,0,0,0,1,20190106,20190331
167,1,1,1,1,1,0,0,20190107,20190405
179,1,1,1,1,1,1,0,20190107,20190406
280,0,0,0,0,0,1,0,20190112,20190406
294,0,0,0,0,0,0,1,20190106,20190120
282,1,1,1,1,1,0,0,20190121,20190405
364,0,0,0,0,0,0,1,20190225,20190310
293,0,0,0,0,0,0,1,20190127,20190210
109,1,1,1,1,1,0,0,20190121,20190222
354,1,1,1,1,1,1,1,20190106,20190120
355,1,1,1,1,1,1,1,20190225,20190310
403,1,1,1,1,1,0,0,20190107,20190127
276,1,1,1,1,1,0,0,20190107,20190405
315,0,0,0,0,0,1,1,20190126,20190210
314,0,0,0,0,0,1,1,20190106,20190120
291,0,0,0,0,0,1,0,20190126,20190210
290,0,0,0,0,0,1,0,20190112,20190119
407,1,1,1,1,1,0,0,20190128,20190217
277,0,0,0,0,0,0,1,20190106,20190331
300,1,1,1,1,1,0,0,20190107,20190405
279,1,1,1,1,1,1,0,20190107,20190406
301,0,0,0,0,0,1,1,20190106,20190406
185,0,0,0,0,0,1,1,20190106,20190406
286,1,1,1,1,1,1,0,20190107,20190406
298,1,1,1,1,1,1,0,20190107,20190119
285,1,1,1,1,1,0,1,20190106,20190405
323,1,1,1,1,1,0,0,20190107,20190405
325,0,1,1,1,1,0,0,20190122,20190222
296,1,1,1,1,1,0,0,20190121,20190405
295,0,0,0,0,0,1,0,20190325,20190406
483,1,1,1,1,1,0,0,20190121,20190224
292,0,0,0,0,0,1,0,20190112,20190406
287,1,1,1,1,1,1,1,20190106,20190406
319,1,1,1,1,1,0,0,20190107,20190222
318,1,1,1,1,1,0,0,20190225,20190405
278,1,1,1,1,1,1,1,20190106,20190406
289,1,1,1,1,1,0,0,20190107,20190405
4502,0,0,0,0,0,1,0,20190323,20190406
4489,1,0,0,0,0,0,0,20190107,20190401
4243,0,0,0,0,0,0,1,20190324,20190331
4500,1,1,1,1,1,0,0,20190107,20190405
4504,0,0,0,0,0,1,0,20190112,20190316
4497,1,1,1,1,1,0,0,20190107,20190405
